id,cycle,,,,,I(Amps),V(Volts),Units(Kwh),,,,,,,,,,,,,Photosensor,,,Temp.,,RUL,,,cycle_norm
1,1,,,,,0.183734939759034,0.406801831262264,0.309756920999323,,,,,,,,,,,,,0.333333333333336,,,0.713178294573645,,191,,,0
1,2,,,,,0.283132530120469,0.453019402659692,0.352633355840648,,,,,,,,,,,,,0.333333333333336,,,0.666666666666664,,190,,,0.002770083102493
1,3,,,,,0.343373493975918,0.36952256376717,0.370526671168129,,,,,,,,,,,,,0.166666666666671,,,0.627906976744185,,189,,,0.005540166204986
1,4,,,,,0.343373493975918,0.256158709396125,0.331195138419986,,,,,,,,,,,,,0.333333333333336,,,0.573643410852714,,188,,,0.008310249307479
1,5,,,,,0.349397590361434,0.257466753869636,0.404625253207293,,,,,,,,,,,,,0.416666666666671,,,0.589147286821703,,187,,,0.011080332409972
1,6,,,,,0.268072289156635,0.29278395465446,0.272113436866981,,,,,,,,,,,,,0.25,,,0.651162790697672,,186,,,0.013850415512465
1,7,,,,,0.382530120481931,0.463919773272295,0.261985145172179,,,,,,,,,,,,,0.333333333333336,,,0.744186046511629,,185,,,0.016620498614959
1,8,,,,,0.406626506024082,0.259864835404407,0.316002700877785,,,,,,,,,,,,,0.25,,,0.643410852713178,,184,,,0.019390581717452
1,9,,,,,0.27409638554218,0.434706780030524,0.211850101282916,,,,,,,,,,,,,0.333333333333336,,,0.705426356589143,,183,,,0.022160664819945
1,10,,,,,0.150602409638566,0.440374972749076,0.307393652937204,,,,,,,,,,,,,0.416666666666671,,,0.627906976744185,,182,,,0.024930747922438
1,11,,,,,0.322289156626482,0.233485938521916,0.310432140445645,,,,,,,,,,,,,0.333333333333336,,,0.620155038759688,,181,,,0.027700831024931
1,12,,,,,0.256024096385516,0.26967516895575,0.302160702228225,,,,,,,,,,,,,0.25,,,0.713178294573645,,180,,,0.030470914127424
1,13,,,,,0.560240963855449,0.243078264661001,0.313639432815663,,,,,,,,,,,,,0.416666666666671,,,0.612403100775193,,179,,,0.033240997229917
1,14,,,,,0.343373493975918,0.477654240244171,0.285449020931804,,,,,,,,,,,,,0.416666666666671,,,0.806201550387595,,178,,,0.03601108033241
1,15,,,,,0.367469879518069,0.278613472858076,0.33558406482107,,,,,,,,,,,,,0.25,,,0.65891472868217,,177,,,0.038781163434903
1,16,,,,,0.277108433734924,0.369304556354919,0.375590817015532,,,,,,,,,,,,,0.333333333333336,,,0.643410852713178,,176,,,0.041551246537396
1,17,,,,,0.412650602409656,0.303466317854813,0.298784604996623,,,,,,,,,,,,,0.333333333333336,,,0.519379844961239,,175,,,0.044321329639889
1,18,,,,,0.424698795180717,0.436014824504035,0.234132343011478,,,,,,,,,,,,,0.333333333333336,,,0.581395348837209,,174,,,0.047091412742382
1,19,,,,,0.174698795180717,0.360148245040335,0.305536799459823,,,,,,,,,,,,,0.25,,,0.511627906976742,,173,,,0.049861495844875
1,20,,,,,0.551204819277103,0.219533464137783,0.387913571910872,,,,,,,,,,,,,0.333333333333336,,,0.689922480620155,,172,,,0.052631578947369
